age,sex,value,lid
11,2,148.40815304258,3
17,3,170.1858726815438,3
11,1,147.015579669284,3
9,1,136.6544980887074,3
12,2,154.1643484520921,3
8,1,131.453747799042,3
16,2,163.5368814264135,3
17,1,176.1028572279151,3
6,3,119.8181907799667,3
12,3,153.5496329544299,3
6,1,120.3048155304047,3
5,1,114.1603340661299,3
8,3,130.9458912761446,3
9,3,136.347923207307,3
7,2,124.9158982642097,3
16,3,168.9741343697059,3
19,1,177.7086176974181,3
18,3,164.2111325558942,4
14,2,156.198863203763,4
5,1,111.8286016673835,4
17,1,169.9284738227829,4
12,3,149.9112336835569,4
10,2,138.8550950110091,4
18,2,157.8129596258576,4
19,2,158.1928035588676,4
11,1,143.7418244889282,4
10,1,138.6597815406618,4
5,2,110.1647960531425,4
18,1,170.4623727814772,4
6,3,117.1114210003354,4
11,3,144.3442621746868,4
6,1,117.8183879419119,4
9,1,133.6947590099897,4
17,2,157.7470675822223,4
13,2,154.0368027967531,4
13,3,155.0737082397484,4
16,3,163.287639859296,4
16,2,157.6882414850359,4
9,2,133.0467442884208,4
19,3,164.6245945129178,4
16,1,168.7375332334439,4
7,2,122.0775495724199,4
8,3,128.1062369043243,4
15,1,166.3313295439544,4
14,1,162.1612992661271,4
6,2,116.3769547810696,4
13,1,156.0772365393047,4
10,3,138.7557014273429,4
19,1,170.9266651855967,4
7,3,122.7447090473742,4
15,2,157.2964344488225,4
5,3,111.012778467038,4
9,3,133.3766262291821,4
14,3,159.2265745275774,4
8,1,128.6478771080539,4
8,2,127.5441647736948,4
11,2,144.9680469742988,4
12,2,150.3588632578692,4
15,3,161.8795508212525,4
12,1,149.4785027527456,4
7,1,123.3872177384475,4
17,3,163.9150712113264,4
5,2,113.0073754401929,5
11,1,148.5014208084468,5
19,3,169.9833346546749,5
17,2,162.5636888818852,5
14,3,164.4902987760262,5
12,1,154.5557012170215,5
18,1,176.5473184902427,5
5,3,113.6812544142864,5
17,3,169.6389060075612,5
10,2,143.2714560995537,5
13,1,161.483907078777,5
11,3,148.9669337659173,5
15,3,167.3799270601653,5
19,2,162.8601869579266,5
7,1,126.7453006566501,5
12,2,154.9071040898372,5
14,2,160.8653378293014,5
6,2,119.7740763061005,5
14,1,167.8989773440105,5
15,1,172.3884148467841,5
13,3,160.1047379747852,5
6,3,120.2817375245491,5
8,1,132.3846716317745,5
16,2,162.4978617613741,5
18,3,169.7975224794735,5
9,3,137.5711955560473,5
10,3,143.1839589884735,5
8,2,131.6403689410537,5
9,2,137.3394257681264,5
15,2,162.0409339112288,5
16,1,175.0196475611702,5
5,1,114.3224278364596,5
19,1,176.6492834572973,5
8,3,132.0220400849755,5
7,3,126.3259606882055,5
18,2,162.589243027376,5
7,2,125.8847186521916,5
11,2,149.4592448974264,5
12,3,154.7263819355398,5
17,1,176.2573598517056,5
6,1,120.7645100179651,5
9,1,137.7910847813621,5
10,1,143.1011256386186,5
16,3,168.9640580688353,5
13,2,158.6413499211566,5
15,2,160.496563860448,6
13,3,156.2058405625094,6
19,1,173.3330113765128,6
10,1,137.6950349727254,6
11,2,146.4672417283771,6
19,3,167.8247397960226,6
9,1,132.475347680405,6
6,1,116.0269178398773,6
18,3,167.4003176440483,6
6,3,116.4853966731478,6
6,2,116.9760009508855,6
16,3,165.9023743734504,6
17,3,166.8879346056054,6
13,1,156.077987147562,6
8,3,127.7050562018982,6
5,2,110.8451988035891,6
9,3,133.1957847261746,6
19,2,161.9887312183448,6
14,3,160.8610980489328,6
18,2,161.6807778313071,6
7,3,122.1945145706493,6
5,3,110.3611610604097,6
15,3,164.0323101264701,6
16,1,170.2385956671931,6
10,3,138.8263191641476,6
14,1,162.6272437105366,6
15,1,167.3117922375395,6
17,1,171.9282946801252,6
12,2,152.2386760851676,6
12,3,150.6055331487585,6
7,2,122.6868033375068,6
16,2,161.243397577516,6
18,1,172.7692758425801,6
10,2,140.0413108967087,6
14,2,158.9552631857985,6
7,1,121.7342042383118,6
11,1,143.0331529299109,6
8,1,127.1837901163673,6
17,2,161.4946600627052,6
5,1,109.9081616986692,6
13,2,156.3436696685769,6
9,2,133.9683592142531,6
11,3,144.6870204849376,6
8,2,128.262977283627,6
12,1,149.0898037904609,6
18,1,177.9956447498884,7
19,1,178.2065496161523,7
14,1,168.2638781727967,7
9,1,137.5760954495332,7
10,3,142.9343311686167,7
11,2,149.4531144355747,7
12,3,154.9563707061902,7
16,1,175.8394936973044,7
14,3,165.276809681939,7
5,3,113.5620969720843,7
6,3,119.916068139067,7
7,1,126.473564987142,7
7,2,125.1635295078157,7
7,3,125.8347623176767,7
13,3,160.6117663999129,7
10,1,142.9570171216556,7
19,2,164.5288149230198,7
17,3,171.1017977372015,7
8,2,130.8852989028615,7
9,2,136.7138615214074,7
17,1,177.4144191011203,7
10,2,142.9105047363954,7
19,3,171.518997347035,7
15,1,172.948420332826,7
18,3,171.396158411126,7
6,1,120.5107959531755,7
