year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile,aapc2,projected20502,pct_decrease20502,tercile2
2023,1,10.029437979877247,nnm,50,-0.029923761226047275,4.470869967944917,55.42252739470416,114535.772,3,-0.02340943142439711,5.330632601174867,46.85013644961879,3
2023,1,8.955754051447439,pnm,50,-0.04116195190833838,2.9474003217448494,67.08931146597882,114535.772,3,-0.04098517966828243,2.9615014473029024,66.93185821885918,3
2023,1,8.884372731383984,q5_19,50,-0.02223376995999571,4.874327136240052,45.135945062035425,114535.772,3,-0.022041037159055678,4.899758201242163,44.84970014896154,3
2023,1,27.611870065344156,u20m,50,-0.031035718086282537,11.944624765560404,56.74097865413259,114535.772,3,-0.02851618805219207,12.785461149796346,53.695779679032086,3
2019,2,9.476710499999996,hgap,50,-0.018411047681046712,5.3553431613636,43.48942957196379,114535.772,3,-0.02283905393518202,4.6684475704592385,50.737678749823154,3
2023,2,7.063105455344553,nnm,50,-0.027349586771356328,3.375170961031014,52.214065295074,114535.772,3,-0.018219870114870675,4.318673642381384,38.85588046666493,3
2023,2,9.44459373332518,pnm,50,-0.04414928542398111,2.8674174447687313,69.63958931710243,114535.772,3,-0.04482944403492199,2.81523994830643,70.1920481939538,3
2023,2,5.716371201426984,q5_19,50,-0.00899585471384039,4.483688894026356,21.56407035101066,114535.772,3,-0.005572102195117346,4.917928668194748,13.967646695738019,3
2023,2,22.063379420944827,u20m,50,-0.03052904116231825,9.675869280137166,56.14511677684409,114535.772,3,-0.026794430700561023,10.702416589175728,51.49239658628226,3
2019,3,9.311981020435951,hgap,50,-0.03073950139109165,3.5908082257398855,61.43883650686631,114535.772,3,-0.04010627160814169,2.6858773462080054,71.15675665238562,3
2023,3,8.570801489040223,nnm,50,-0.02870399329415201,3.948569778433204,53.929982120314236,114535.772,3,-0.021252928571725692,4.828482226406727,43.66358580838592,3
2023,3,9.209026658036578,pnm,50,-0.042776827834647646,2.901447672882211,68.493438225090145,114535.772,3,-0.04293125145439118,2.889375452149505,68.62452939445028,3
2023,3,7.336560636456602,q5_19,50,-0.017537931649825245,4.569235938028,37.71964596976546,114535.772,3,-0.016005890893011722,4.762206449051275,35.08938745238373,3
2023,3,24.90759632231587,u20m,50,-0.030839571993827742,10.831996426820671,56.511273562291585,114535.772,3,-0.02778068826866642,11.764590875678158,52.76705659013064,3
2019,1,15.605140299999988,hgap,51,-0.006005724092620434,12.954237044286062,16.987372139896287,1847.556,3,-0.009062891035752241,11.78291668919288,24.493362682597027,3
2023,1,27.310125743608477,nnm,51,-0.031420707893847946,11.691924930568788,57.18831527787781,1847.556,3,-0.0282361145033458,12.741730184595054,53.34430055644447,3
2023,1,50.463634775239406,pnm,51,-0.0359501582046136,19.11739592386511,62.116490401430035,1847.556,3,-0.03663499641639989,18.767151297719312,62.810543906901366,3
2023,1,22.14916041260906,q5_19,51,-0.03215296914546828,9.296792277113887,58.026434844810574,1847.556,3,-0.030430346697715115,9.739406975336896,56.02809861003827,3
2023,1,96.8526544914271,u20m,51,-0.03266221422508249,40.09738072798688,58.599605825428256,1847.556,3,-0.031928848059936496,40.89925714353481,57.77167145464764,3
2019,2,12.31164769999998,hgap,51,-0.0037480836613292823,10.961127915971634,10.969447932045268,1847.556,3,-0.0049906148406868136,10.546950032771774,14.333562088754453,3
2023,2,20.77495655164673,nnm,51,-0.032553523826382325,8.626191566821605,58.47793209397664,1847.556,3,-0.029957310809211,9.252565436091666,55.46288911319884,3
2023,2,44.99136452498609,pnm,51,-0.03869626143500664,15.826274678096715,64.82375041257629,1847.556,3,-0.04100751658116923,14.86883815930762,66.95179549166559,3
2023,2,17.879739070226886,q5_19,51,-0.042692760312528666,5.646092132075555,68.42184267958721,1847.556,3,-0.044618884508724845,5.359969552246524,70.02210417504428,3
2023,2,81.55219392164592,u20m,51,-0.03691238390454092,30.10251930406315,63.088032514508214,1847.556,3,-0.03803442706000624,29.20423406137139,64.18951758743565,3
2019,3,13.853600966144597,hgap,51,-0.0050552731745758805,11.844122203992855,14.50510063818427,1847.556,3,-0.008506126417375004,10.642498496604494,23.178828936876336,3
2023,3,24.124875336033856,nnm,51,-0.03187094633697622,10.203470716079172,57.70560231314907,1847.556,3,-0.028961309909667055,11.037384617914984,54.24894651609198,3
2023,3,47.66348245499186,pnm,51,-0.03717262635682213,17.470340702157685,63.34648707497453,1847.556,3,-0.038614808702586066,16.80313880765793,64.74630483929711,3
2023,3,20.04416009612886,q5_19,51,-0.03697161583913435,7.386870862310436,63.14701725148829,1847.556,3,-0.03699611608822595,7.3819860134131465,63.171387685938335,3
2023,3,89.26675326830724,u20m,51,-0.034559695255147814,35.11110080930712,60.667214249660894,1847.556,3,-0.03469274416404513,34.98519675992802,60.808256737226976,3
2019,1,13.178024499999992,hgap,52,-0.0023098505204913965,12.267399119020487,6.910181271703553,3470.392,3,-0.004600400037472596,11.426534408632998,13.290991311838853,3
2023,1,17.45782200385597,nnm,52,-0.025989446573807883,8.654442241844249,50.426563863850184,3470.392,3,-0.027248894045149984,8.365094750268314,52.08397274058192,3
2023,1,22.655734714198573,pnm,52,-0.04010235563676505,7.672552928484415,66.13416856582475,3470.392,3,-0.03947406701915899,7.803818760986116,65.55477516209004,3
2023,1,26.81874822300212,q5_19,52,-0.03134696037425817,11.504442595170206,57.10298445136607,3470.392,3,-0.03218711354942298,11.24641192371218,58.06511239750457,3
2023,1,65.47159712460349,u20m,52,-0.03221263471700135,27.43652842009586,58.09399858097318,3470.392,3,-0.03262542097259722,27.132439747255123,58.55845750086482,3
2019,2,12.780909899999983,hgap,52,-0.002814952023447459,11.712880466908809,8.356442862422307,3470.392,3,-0.003075784265425696,11.618554328911074,9.094466514382601,3
2023,2,10.315100586292736,nnm,52,-0.027700546057150312,4.882679535863942,52.6647414146178,3470.392,3,-0.029512717337280937,4.6495271666024935,54.925042875674556,3
2023,2,20.64547433695885,pnm,52,-0.03970019629571144,7.068093867256647,65.7644394510056,3470.392,3,-0.03853109478582839,7.29476214134203,64.66653164619625,3
2023,2,18.434205261022463,q5_19,52,-0.04744373318190207,5.120372163089022,72.22352637075377,3470.392,3,-0.04628679170388992,5.282843764121583,71.34216696994417,3
2023,2,48.615012197717135,u20m,52,-0.03958137693135182,16.69710246066451,65.65443120170897,3470.392,3,-0.038958435020898644,16.980313279110394,65.0718728403245,3
2019,3,13.06671612311635,hgap,52,-0.0029295614479108332,11.932333760794167,8.681464812075818,3470.392,3,-0.004091628016029425,11.510132962248576,11.9125811428169,3
2023,3,14.003400105944326,nnm,52,-0.026645622193125672,6.820060655773928,51.29710924364098,3470.392,3,-0.028143452790094427,6.549750383332929,53.22742809760456,3
2023,3,21.597662969624842,pnm,52,-0.03992485587352394,7.349365657518176,65.97147724800413,3470.392,3,-0.03901379891415724,7.532391158279957,65.1240452780767,3
2023,3,22.6677563808545,q5_19,52,-0.03811178961524009,8.100495003601125,64.26424006196345,3470.392,3,-0.03797660531511395,8.130115641215117,64.13356706055865,3
2023,3,57.16623816827837,u20m,52,-0.03535917734818339,22.004911840382302,61.507154317890965,3470.392,3,-0.03530791683554746,22.035388468518754,61.4538420323305,3
