year,sex,value,ageg,lid,decline
2023,1,3.496373688927301,q5_19,194,-3.2789385
2023,2,3.984333515167236,nnm,194,.83008385
2023,2,4.39941743580774,q5_19,194,-3.5019109
2023,3,4.752153873443604,nnm,194,-1.6444163
2023,2,4.459105491638184,pnm,194,-1.178607
2023,1,4.746503829956055,pnm,194,-1.3279381
2023,3,4.597172737121582,pnm,194,-.4494133
2023,1,5.480659961700439,nnm,194,-.87659597
2023,3,3.941450219317688,q5_19,194,-4.1819825
2009,3,8.565317153930664,hgap,195,0
2009,1,9.752603530883789,hgap,195,
2009,2,7.323496341705322,hgap,195,-1.1872864
2012,3,176.1560000000001,math,195,-13.8536
2012,2,182.884,math,195,
2012,1,169.0304,math,195,0
2013,3,5.718743324279785,pnm,195,
2013,2,5.499823570251465,pnm,195,.20625401
2013,1,5.924997329711914,pnm,195,0
2013,2,4.575645648835058,q5_19,195,
2013,3,8.131118774414063,nnm,195,0
2013,1,8.519923191527834,q5_19,195,2.0200107
2013,2,7.27559757232666,nnm,195,-.80695057
2013,1,8.938069343566895,nnm,195,
2013,3,6.595656424346119,q5_19,195,0
2019,2,6.331110000610352,hgap,195,-2.0423317
2019,3,7.710271835327148,hgap,195,-2.4291072
2019,1,9.027411460876465,hgap,195,-3.4214935
2022,3,187.05868,math,195,-6.7280002
2022,1,181.55294,math,195,9.6648798
2022,2,192.5488800000001,math,195,4.1746802
2023,2,5.701996326446533,nnm,195,-1.9248734
2023,2,3.806549953786376,q5_19,195,1.669274
2023,1,6.244919618181743,q5_19,195,.48262697
2023,2,3.937694072723389,pnm,195,-1.7760479
2023,1,7.013195991516113,nnm,195,-1.6624718
2023,3,3.942695379257202,pnm,195,-.21891975
2023,1,3.953863143920898,pnm,195,-1.7810493
2023,3,6.377163410186768,nnm,195,-3.236073
2023,3,5.058272614954951,q5_19,195,3.9442775
2009,2,7.948671817779541,hgap,93,0
2009,1,10.88164806365967,hgap,93,
2009,3,9.356127738952637,hgap,93,-2.9329762
2013,1,8.356795310974121,pnm,93,0
2013,2,2.541710773953598,q5_19,93,1.8294249
2013,3,7.968008041381836,nnm,93,
2013,1,6.258392922372513,q5_19,93,0
2013,2,6.426575183868408,nnm,93,0
2013,3,4.428968006637835,q5_19,93,
2013,2,7.893020153045654,pnm,93,
2013,1,9.332510948181152,nnm,93,-1.5414329
2013,3,8.141839981079102,pnm,93,.46377516
2019,3,8.944937705993652,hgap,93,-3.180357
2019,2,7.701291084289551,hgap,93,-.76590347
2019,1,10.11574459075928,hgap,93,-1.5255203
2023,1,4.890628337860107,pnm,93,-3.2018776
2023,1,5.87713623046875,nnm,93,1.3645029
2023,3,4.788639068603516,pnm,93,.24881983
2023,3,5.060649394989014,nnm,93,-3.8078403
2023,2,2.284424173475297,q5_19,93,-1.8872572
2023,1,3.759556215833459,q5_19,93,-1.3949724
2023,2,4.160167694091797,nnm,93,-2.0908718
2023,3,3.033995506091847,q5_19,93,-2.1445439
2023,2,4.691142559051514,pnm,93,-3.1043811
2013,3,4.900938378944342,q5_19,196,3.2393951
2013,1,6.488591602692217,q5_19,196,0
2013,2,3.249196472083438,q5_19,196,
2023,1,5.424533394418396,q5_19,196,-.018653922
2023,2,3.230542550235804,q5_19,196,1.1048656
2023,3,4.354062065877073,q5_19,196,1.6517419
2009,1,15.40956878662109,hgap,2,0
2009,3,13.44646739959717,hgap,2,4.0819283
2009,2,11.32764053344727,hgap,2,
2013,1,20.28080558776855,nnm,2,1.7421322
2013,3,11.38624680243805,q5_19,2,0
2013,2,16.98602867126465,nnm,2,
2013,3,18.7281608581543,nnm,2,0
2013,2,19.04976844787598,pnm,2,
2013,1,17.16205406188965,pnm,2,-1.0175056
2013,1,12.501302895083,q5_19,2,1.2205219
2013,3,18.03226280212402,pnm,2,0
2013,2,10.16572489221213,q5_19,2,
2019,3,12.2031717300415,hgap,2,2.1188269
2019,2,10.04363346099854,hgap,2,.8755312
2019,1,14.18535137176514,hgap,2,-1.2840071
2023,2,12.6743049621582,nnm,2,-1.8223467
2023,3,12.29676342010498,pnm,2,-6.7181139
2023,2,12.33165454864502,pnm,2,-6.7749071
2023,1,15.16368198394775,nnm,2,-3.0227604
2023,1,12.27486133575439,pnm,2,-1.8877144
2023,2,6.381475020654448,q5_19,2,-2.5760794
2023,3,7.589645537452783,q5_19,2,-1.4677087
2023,1,8.698016129563779,q5_19,2,2.335578
2023,3,13.9632682800293,nnm,2,3.2947769
2009,1,5.398475646972656,hgap,249,
2009,3,4.262273788452148,hgap,249,0
2009,2,3.059868335723877,hgap,249,-1.1362019
2012,3,60.43694000000005,math,249,0
2012,1,54.47286000000003,math,249,
2012,2,66.76635000000005,math,249,5.9640799
2013,1,2.633935689926147,nnm,249,
2013,1,2.965623010311336,q5_19,249,0
2013,2,2.497827291488647,nnm,249,-.067015886
2013,3,2.392827322566293,q5_19,249,
