loc,heading2,heading1,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
Taiwan,Asia,Countries and territories,0,1,1,1,0,1,134
Tajikistan,Asia,Countries and territories,1,1,1,1,0,1,135
Thailand,Asia,Countries and territories,0,1,1,1,0,1,136
Timor-Leste,Asia,Countries and territories,1,1,1,1,0,1,137
Turkmenistan,Asia,Countries and territories,0,1,1,1,0,1,138
Türkiye,Asia,Countries and territories,1,1,1,1,1,1,139
United Arab Emirates,Asia,Countries and territories,0,1,1,1,0,1,140
Uzbekistan,Asia,Countries and territories,1,1,1,1,1,1,141
Viet Nam,Asia,Countries and territories,1,1,1,1,0,1,142
Yemen,Asia,Countries and territories,1,1,1,1,0,1,143
Albania,Europe,Countries and territories,1,1,1,1,0,1,144
Andorra,Europe,Countries and territories,0,1,1,1,0,1,145
Austria,Europe,Countries and territories,0,1,1,1,0,1,146
Belarus,Europe,Countries and territories,0,1,1,1,0,1,147
Belgium,Europe,Countries and territories,0,1,1,1,0,1,148
Bosnia and Herzegovina,Europe,Countries and territories,0,1,1,1,0,1,149
Bulgaria,Europe,Countries and territories,0,1,1,1,0,1,150
Croatia,Europe,Countries and territories,0,1,1,1,0,1,151
Czechia,Europe,Countries and territories,0,1,1,1,0,1,152
Denmark,Europe,Countries and territories,0,1,1,1,0,1,153
Estonia,Europe,Countries and territories,0,1,1,1,0,1,154
Faroe Islands,Europe,Countries and territories,0,1,0,0,0,0,155
Finland,Europe,Countries and territories,0,1,1,1,0,1,156
France,Europe,Countries and territories,0,1,1,1,0,1,157
Germany,Europe,Countries and territories,0,1,1,1,0,1,158
Gibraltar,Europe,Countries and territories,0,1,0,0,0,0,159
Greece,Europe,Countries and territories,0,1,1,1,0,1,160
Guernsey,Europe,Countries and territories,0,1,0,0,0,0,161
Holy See,Europe,Countries and territories,0,1,0,0,0,0,162
Hungary,Europe,Countries and territories,0,1,1,1,0,1,163
Iceland,Europe,Countries and territories,0,1,1,1,0,1,164
Ireland,Europe,Countries and territories,0,1,1,1,0,1,165
Isle of Man,Europe,Countries and territories,0,1,0,0,0,0,166
Italy,Europe,Countries and territories,0,1,1,1,0,1,167
Jersey,Europe,Countries and territories,0,1,0,0,0,0,168
Kosovo,Europe,Countries and territories,0,1,0,0,0,0,169
Latvia,Europe,Countries and territories,0,1,1,1,0,1,170
Liechtenstein,Europe,Countries and territories,0,1,0,0,0,0,171
Lithuania,Europe,Countries and territories,0,1,1,1,0,1,172
Luxembourg,Europe,Countries and territories,0,1,1,1,0,1,173
Malta,Europe,Countries and territories,0,1,1,1,0,1,174
Moldova,Europe,Countries and territories,1,1,1,1,0,1,175
Monaco,Europe,Countries and territories,0,1,1,1,0,0,176
Montenegro,Europe,Countries and territories,0,1,1,1,0,1,177
Netherlands,Europe,Countries and territories,0,1,1,1,0,1,178
North Macedonia,Europe,Countries and territories,0,1,1,1,0,1,179
Norway,Europe,Countries and territories,0,1,1,1,0,1,180
Poland,Europe,Countries and territories,0,1,1,1,0,1,181
Portugal,Europe,Countries and territories,0,1,1,1,0,1,182
Romania,Europe,Countries and territories,0,1,1,1,0,1,183
Russia,Europe,Countries and territories,0,1,1,1,0,1,184
San Marino,Europe,Countries and territories,0,1,1,1,0,0,185
Serbia,Europe,Countries and territories,0,1,1,1,0,1,186
Slovakia,Europe,Countries and territories,0,1,1,1,0,1,187
Slovenia,Europe,Countries and territories,0,1,1,1,0,1,188
Spain,Europe,Countries and territories,0,1,1,1,0,1,189
Sweden,Europe,Countries and territories,0,1,1,1,0,1,190
Switzerland,Europe,Countries and territories,0,1,1,1,0,1,191
Ukraine,Europe,Countries and territories,1,1,1,1,0,1,192
United Kingdom,Europe,Countries and territories,0,1,1,1,0,1,193
Anguilla,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,194
Antigua and Barbuda,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,195
Argentina,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,196
Aruba,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,197
Bahamas,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,198
Barbados,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,199
Belize,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,200
Bolivia,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,201
"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,202
Brazil,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,203
British Virgin Islands,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,204
Cayman Islands,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,205
Chile,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,206
Colombia,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,207
Costa Rica,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,208
Cuba,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,209
Curaçao,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,210
Dominica,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,211
Dominican Republic,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,212
Ecuador,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,213
El Salvador,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,214
Falkland Islands,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,215
French Guiana,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,216
Grenada,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,217
Guadeloupe,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,218
Guatemala,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,219
Guyana,Latin America and the Caribbean,Countries and territories,1,1,1,1,0,1,220
Haiti,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,221
Honduras,Latin America and the Caribbean,Countries and territories,1,1,1,1,0,1,222
Jamaica,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,223
Martinique,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,224
Mexico,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,225
Montserrat,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,226
Nicaragua,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,227
Panama,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,228
Paraguay,Latin America and the Caribbean,Countries and territories,1,1,1,1,0,1,229
Peru,Latin America and the Caribbean,Countries and territories,1,1,1,1,1,1,230
Puerto Rico,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,231
Saint Barthélemy,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,232
Saint Kitts and Nevis,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,233
Saint Lucia,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,234
Saint Martin (French),Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,235
Saint Vincent and the Grenadines,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,236
Sint Maarten (Dutch),Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,237
Suriname,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,238
Trinidad and Tobago,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,239
Turks and Caicos Islands,Latin America and the Caribbean,Countries and territories,0,1,0,0,0,0,240
US Virgin Islands,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,0,241
Uruguay,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,242
Venezuela,Latin America and the Caribbean,Countries and territories,0,1,1,1,0,1,243
Bermuda,Northern America,Countries and territories,0,1,1,1,0,1,244
Canada,Northern America,Countries and territories,0,1,1,1,0,1,245
Greenland,Northern America,Countries and territories,0,1,1,1,0,1,246
Saint Pierre and Miquelon,Northern America,Countries and territories,0,1,0,0,0,0,247
United States,Northern America,Countries and territories,0,1,1,1,0,1,248
American Samoa,Oceania,Countries and territories,0,1,1,1,0,1,249
Australia,Oceania,Countries and territories,0,1,1,1,0,1,250
Cook Islands,Oceania,Countries and territories,0,1,1,1,0,1,251
Fiji,Oceania,Countries and territories,0,1,1,1,0,1,252
French Polynesia,Oceania,Countries and territories,0,1,0,0,0,1,253
Guam,Oceania,Countries and territories,0,1,1,1,0,0,254
Kiribati,Oceania,Countries and territories,0,1,1,1,0,1,255
Marshall Islands,Oceania,Countries and territories,0,1,1,1,0,1,256
Micronesia,Oceania,Countries and territories,0,1,1,1,0,1,257
Nauru,Oceania,Countries and territories,0,1,1,1,0,1,258
New Caledonia,Oceania,Countries and territories,0,1,0,0,0,0,259
New Zealand,Oceania,Countries and territories,0,1,1,1,0,1,260
Niue,Oceania,Countries and territories,0,1,1,1,0,1,261
Northern Mariana Islands,Oceania,Countries and territories,0,1,1,1,0,0,262
Palau,Oceania,Countries and territories,0,1,1,1,0,1,263
Papua New Guinea,Oceania,Countries and territories,1,1,1,1,0,1,264
Samoa,Oceania,Countries and territories,0,1,1,1,0,1,265
Solomon Islands,Oceania,Countries and territories,0,1,1,1,0,1,266
Tokelau,Oceania,Countries and territories,0,1,1,1,0,1,267
Tonga,Oceania,Countries and territories,0,1,1,1,0,1,268
Tuvalu,Oceania,Countries and territories,0,1,1,1,0,1,269
Vanuatu,Oceania,Countries and territories,0,1,1,1,0,1,270
Wallis and Futuna Islands,Oceania,Countries and territories,0,1,0,0,0,0,271
Total Canada,Canada,Subnational regions,0,1,0,0,0,0,272
Alberta,Canada,Subnational regions,0,1,0,0,0,0,273
British Columbia,Canada,Subnational regions,0,1,0,0,0,0,274
Manitoba,Canada,Subnational regions,0,1,0,0,0,0,275
New Brunswick,Canada,Subnational regions,0,1,0,0,0,0,276
Newfoundland,Canada,Subnational regions,0,1,0,0,0,0,277
Northwest Territories,Canada,Subnational regions,0,1,0,0,0,0,278
Nova Scotia,Canada,Subnational regions,0,1,0,0,0,0,279
Ontario,Canada,Subnational regions,0,1,0,0,0,0,280
Prince Edward Island,Canada,Subnational regions,0,1,0,0,0,0,281
Quebec,Canada,Subnational regions,0,1,0,0,0,0,282
Saskatchewan,Canada,Subnational regions,0,1,0,0,0,0,283
Yukon,Canada,Subnational regions,0,1,0,0,0,0,284
Total France,France,Subnational regions,0,1,1,1,0,1,285
