surveyyear,wi,NMR,CH,PNM,lid
2000,Richer,61.483971,88.225098,56.562614,53
2016,Middle,34.774483,20.377943,24.934853,53
2011,Richer,39.454082,33.676281,26.92889,53
2019,Richer,36.442524,13.611732,12.269577,53
2011,Middle,35.064449,36.02103,25.193882,53
2005,Poorer,38.397411,58.217815,47.386715,53
2016,Poorer,33.982967,21.2808,20.620575,53
2016,Poorest,36.289482,28.090828,25.351192,53
2011,Poorer,48.227539,37.343689,35.824188,53
2000,Middle,75.796875,85.449532,65.544495,53
2005,Richest,30.249859,31.941835,29.777519,53
2011,Poorest,50.158226,46.04409,40.947388,53
2011,Richest,36.932693,25.758709,23.097874,53
2019,Middle,40.251915,14.981553,16.705345,53
2000,Poorest,40.683067,66.40033,52.064346,53
2019,Poorest,33.816849,18.920689,23.942909,53
2000,Richest,44.517376,52.026543,50.477573,53
2005,Poorest,39.096966,50.055344,40.82291,53
2016,Richest,40.043182,12.674045,13.973209,53
2019,Poorer,41.258339,10.899874,20.905136,53
2019,Richer,19.296137,8.5077562,9.5386829,54
2012,Middle,28.891211,23.19986,12.26309,54
2012,Richer,29.359379,13.646738,14.969898,54
2000,Poorest,26.127192,36.125233,30.858728,54
2012,Poorer,26.909163,19.630547,18.64192,54
2012,Richest,19.50918,9.9490099,20.77347,54
2019,Middle,17.183802,7.7497106,8.1683407,54
2019,Richest,17.501076,4.52809,3.533123,54
2000,Middle,37.474522,30.777674,29.127552,54
2019,Poorer,14.220338,8.2085419,10.710553,54
2000,Richest,21.701519,19.461897,14.21497,54
2019,Poorest,18.728586,26.052258,18.647097,54
2000,Richer,43.571281,22.718874,29.157326,54
2012,Poorest,20.87442,32.657623,21.736591,54
2000,Poorer,28.527567,39.613899,39.598541,54
2019,Poorer,31.431173,16.581085,18.758642,55
2013,Poorer,30.065325,24.922722,12.942461,55
2019,Poorest,34.426338,19.19314,15.016541,55
2013,Richest,12.400517,16.241262,5.517993,55
2013,Richer,28.097967,18.175051,13.597178,55
2019,Middle,32.875599,15.479304,13.533329,55
2019,Richest,28.528978,8.5916204,15.405695,55
2013,Middle,31.783363,24.834358,13.652477,55
2019,Richer,21.483231,11.707373,14.814178,55
2013,Poorest,28.695017,23.916737,17.809797,55
1993,Richest,33.333332,29.143309,12.467007,56
2014,Middle,26.122118,21.507521,12.966665,56
2008,Poorer,26.590324,33.758942,18.484844,56
1998,Poorest,32.587631,62.853382,38.125122,56
1998,Middle,49.599796,41.189629,31.535023,56
2014,Richest,40.459442,12.383259,10.759533,56
1998,Richer,26.463036,46.104912,27.82745,56
1993,Richer,39.483395,39.99934,24.700596,56
2022,Richer,14.614878,9.867816,11.635601,56
2014,Poorest,32.401394,37.242886,22.383709,56
2003,Middle,48.571621,37.11021,24.914799,56
2008,Richest,30.614307,13.433098,15.879185,56
1993,Poorest,47.438984,78.751282,29.974781,56
2022,Middle,20.416294,12.097106,15.425964,56
2003,Richest,42.421822,30.68079,15.275112,56
2022,Poorer,22.45957,17.120653,6.7702312,56
2022,Poorest,22.071552,20.919056,13.056137,56
2022,Richest,12.273163,4.9273248,8.252409,56
1993,Middle,48.433968,55.86026,34.364304,56
2003,Richer,38.083931,41.788853,27.933548,56
2014,Richer,30.95862,7.8136873,16.450956,56
2008,Middle,43.716766,32.015907,26.244652,56
1998,Richest,13.134701,23.966337,7.9399796,56
2003,Poorest,36.662666,66.006088,24.814396,56
2014,Poorer,25.843569,28.294544,18.533754,56
2008,Richer,30.933523,23.43457,13.600985,56
1993,Poorer,57.352043,78.297821,37.180893,56
2003,Poorer,40.41563,41.066547,23.343029,56
2008,Poorest,30.719688,43.885494,28.416405,56
1998,Poorer,33.878407,59.171478,29.401802,56
2012,Richer,40.592167,51.88982,23.013557,57
1999,Poorest,55.939987,110.83393,62.938042,57
2005,Poorest,60.130962,90.035881,66.378113,57
1999,Middle,53.942245,84.39444,59.51915,57
2012,Poorer,37.229271,66.128365,42.029007,57
2018,Middle,31.040316,51.337162,30.53861,57
2018,Poorer,38.964375,50.493717,43.406246,57
2012,Richest,31.595993,18.10041,17.028847,57
2005,Richest,38.429592,44.735176,29.601177,57
2005,Richer,46.163868,61.048183,54.270611,57
