year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2019,3,171.8102416992188,hgap,3,.00030687131,173.45247,-.95583779,,3
2019,3,171.8598175048828,hgap,7,.00019214035,172.88654,-.59741604,,3
2023,3,1.987701281905174,pnm,3,-.045194428,.58668292,70.484352,,3
2023,2,6.282185669988394,pnm,20,-.016852416,3.9856594,36.556168,,3
2023,1,48.39135937679529,q5_19,26,-.015605298,31.752714,34.383503,,3
2023,3,2.099694684147835,nnm,3,-.039728414,.7182948,65.790512,,3
2023,1,8.144480176270008,pnm,4,-.026252665,4.0089064,50.777626,,3
2019,2,164.8490295410156,hgap,3,.00012303528,165.47897,-.38213378,,3
2023,1,9.353957909796984,q5_19,24,-.042116757,3.0001047,67.926895,,3
2019,1,170.3545227050781,hgap,1,.00056673191,173.37387,-1.772391,,3
2023,3,15.15068206936121,pnm,24,-.051655553,3.7559664,75.209259,,3
2019,3,165.9299926757813,hgap,4,.00086228404,170.42525,-2.7091272,,3
2023,1,1.761387684382498,pnm,25,-.0257459,.87894112,50.099506,,3
2023,1,1.937391516647846,q5_19,25,-.026303731,.95231611,50.845448,,3
2023,1,5.665407050400972,u20m,25,-.025119951,2.8752513,49.248989,,3
2019,2,158.6201171875,hgap,34,.00059171411,161.55656,-1.851245,,3
2023,1,8.057444356381893,pnm,33,-.023013355,4.3285642,46.278698,,3
2023,2,5.507379304617643,nnm,33,-.026338376,2.7045965,50.891407,,3
2019,1,167.0185089111328,hgap,22,.0011958508,173.32631,-3.7767074,,3
2019,1,177.1109771728516,hgap,5,.00026672581,178.5815,-.83028167,,3
2023,1,20.92480659484863,pnm,34,-.023837561,10.993688,47.460983,,3
2019,1,173.4654083251953,hgap,33,.0011721164,179.88429,-3.7003829,,3
2023,1,26.37699246406555,u20m,10,-.035791434,10.035445,61.953793,,3
2023,1,53.71205881237984,pnm,16,-.037771646,19.371504,63.934536,,3
2019,2,156.8389587402344,hgap,9,.00084294722,160.99139,-2.647579,,3
2023,1,27.28360332548618,nnm,1,-.021585928,15.233027,44.167835,,3
2019,2,160.846435546875,hgap,33,.0010527238,166.18216,-3.3172784,,3
2019,3,171.7927703857422,hgap,13,.00039974588,173.93489,-1.2469212,,3
2023,3,5.523311905562878,u20m,28,-.012061615,3.9880967,27.795193,,3
2023,2,17.54444465041161,u20m,33,-.025803344,8.7411966,50.176842,,3
2023,2,47.6122722029686,pnm,16,-.039847903,16.235451,65.900703,,3
2023,3,20.36720700562,nnm,31,-.029519267,9.1788864,54.933014,,3
2023,2,19.05437558889389,pnm,14,-.034139305,7.5801687,60.218227,,3
2023,1,6.313110762911522,q5_19,13,-.013338243,4.403924,30.241617,,3
2023,1,19.53265257179737,u20m,20,-.013143356,13.69755,29.873581,,3
2023,1,11.37136574834585,pnm,27,-.022377741,6.2145877,45.348801,,3
2023,3,22.96750433743,nnm,30,-.02573012,11.465782,50.078239,,3
2023,3,23.43836985528469,u20m,10,-.034804594,9.158206,60.926437,,3
2019,2,159.5655670166016,hgap,27,.0007040599,163.0865,-2.2065756,,3
2023,3,32.73006156086922,u20m,22,-.02315712,17.514896,46.48682,,3
2023,3,30.5623896420002,u20m,32,.00023170329,30.754187,-.62755889,,3
2023,2,5.722559473281041,q5_19,6,-.02642276,2.8038728,51.00317,,3
2023,1,18.00986938178539,nnm,34,-.020209357,10.436062,42.05365,,3
2023,2,28.45752611756325,pnm,11,-.040237684,9.6022291,66.257683,,3
2023,2,7.808080462101241,q5_19,22,-.022110574,4.2981024,44.953148,,3
2023,1,2.897496335208416,pnm,18,-.010360839,2.1904442,24.402174,,3
2023,3,6.10326799871308,q5_19,10,-.020142343,3.5430257,41.948711,,3
2023,2,17.42768287658691,u20m,9,-.027032057,8.3996868,51.80262,,3
2023,2,3.255102277858302,q5_19,12,-.05745,.69009477,78.799599,,3
2023,3,5.006143357604742,u20m,25,-.02393277,2.623426,47.595867,,3
2023,1,12.78946734964848,nnm,15,-.011818102,9.2955265,27.318893,,3
2023,3,17.07786880433559,nnm,8,-.0054495186,14.741201,13.682429,,3
2023,1,11.93755585700274,nnm,27,-.020543108,6.8553233,42.573475,,3
2023,2,4.061664920300245,pnm,12,-.049949322,1.0543888,74.040482,,3
2023,2,7.101193070411682,pnm,4,-.026338637,3.4872715,50.89175,,3
2023,1,26.05247497558594,u20m,21,-.022315018,14.262123,45.256168,,3
2023,2,8.773503530749238,q5_19,17,-.017251665,5.5065665,37.236401,,3
2023,3,1.6507338732481,pnm,28,-.0064479276,1.3869761,15.978211,,3
2023,2,11.26978732645512,pnm,27,-.02120449,6.3573027,43.589863,,3
2023,2,7.196915335953236,nnm,10,-.040981218,2.3801408,66.928322,,3
2023,1,19.006272777915,nnm,8,-.0040968363,17.016006,10.471628,,3
2019,1,172.9155578613281,hgap,27,.001103042,178.93054,-3.4785674,,3
2019,2,160.4580841064453,hgap,10,.00044146337,162.66911,-1.377948,,3
2023,2,96.80923819541931,u20m,16,-.034847364,37.783165,60.971531,,3
2019,2,157.2538604736328,hgap,11,.00018627266,158.16454,-.5791114,,3
