year,age,sex,value,loc,heading1,heading2,lid
1985,18,3,168.1479042884784,High-income countries,Aggregates,incomegr,
2019,18,3,169.8825332483862,High-income countries,Aggregates,incomegr,
2010,7,3,125.5833497144768,High-income countries,Aggregates,incomegr,
2000,17,1,175.0168750393124,High-income countries,Aggregates,incomegr,
2010,9,2,136.372601938109,High-income countries,Aggregates,incomegr,
2010,13,2,157.958544311802,High-income countries,Aggregates,incomegr,
2019,15,1,172.1390827353197,High-income countries,Aggregates,incomegr,
1985,9,1,135.4904672772255,High-income countries,Aggregates,incomegr,
1990,12,1,152.7873296329104,High-income countries,Aggregates,incomegr,
2019,9,2,136.8107786543697,High-income countries,Aggregates,incomegr,
2010,9,3,136.6590598100265,High-income countries,Aggregates,incomegr,
1990,11,2,147.9338429346891,High-income countries,Aggregates,incomegr,
2000,8,3,130.4637957870712,High-income countries,Aggregates,incomegr,
1985,13,1,159.2418343141237,High-income countries,Aggregates,incomegr,
2010,15,1,171.2337800079198,High-income countries,Aggregates,incomegr,
2010,14,1,166.8201008249776,High-income countries,Aggregates,incomegr,
2000,16,3,167.934028920589,High-income countries,Aggregates,incomegr,
2000,5,1,112.933498320749,High-income countries,Aggregates,incomegr,
1990,17,3,167.9707042990901,High-income countries,Aggregates,incomegr,
2010,6,3,119.7127425585802,High-income countries,Aggregates,incomegr,
2010,11,3,148.0584462884541,High-income countries,Aggregates,incomegr,
2010,6,1,120.1715124480516,High-income countries,Aggregates,incomegr,
2010,10,2,142.3275675067328,High-income countries,Aggregates,incomegr,
1985,10,2,141.3631512509424,High-income countries,Aggregates,incomegr,
2010,15,3,166.5388639546537,High-income countries,Aggregates,incomegr,
2000,6,1,119.2572972255295,High-income countries,Aggregates,incomegr,
2019,6,3,119.8007109711003,High-income countries,Aggregates,incomegr,
2019,12,1,154.2129289305734,High-income countries,Aggregates,incomegr,
1985,16,2,161.2590892363563,High-income countries,Aggregates,incomegr,
1985,7,2,124.056812468662,High-income countries,Aggregates,incomegr,
1990,13,3,158.5657153649294,High-income countries,Aggregates,incomegr,
1985,15,3,165.4740703790699,High-income countries,Aggregates,incomegr,
1985,5,1,112.5088161603746,High-income countries,Aggregates,incomegr,
2010,10,3,142.2579796694715,High-income countries,Aggregates,incomegr,
1985,13,2,157.1246538605581,High-income countries,Aggregates,incomegr,
1990,8,3,130.2141033687719,High-income countries,Aggregates,incomegr,
2019,16,1,174.7579523770271,High-income countries,Aggregates,incomegr,
2010,19,1,176.0715378356396,High-income countries,Aggregates,incomegr,
2019,5,1,113.7597157958028,High-income countries,Aggregates,incomegr,
1990,12,2,153.5173688048548,High-income countries,Aggregates,incomegr,
2000,9,1,136.2256747068608,High-income countries,Aggregates,incomegr,
1990,7,2,124.199997570004,High-income countries,Aggregates,incomegr,
1985,19,3,168.5286431791336,High-income countries,Aggregates,incomegr,
1990,7,3,124.5661410010641,High-income countries,Aggregates,incomegr,
1990,16,2,161.326873263616,High-income countries,Aggregates,incomegr,
1985,12,1,152.2927310092444,High-income countries,Aggregates,incomegr,
1990,12,3,153.1430078749106,High-income countries,Aggregates,incomegr,
1990,7,1,124.9139805823227,High-income countries,Aggregates,incomegr,
2019,5,3,113.404182823258,High-income countries,Aggregates,incomegr,
2000,7,1,125.180065324043,High-income countries,Aggregates,incomegr,
2000,15,3,166.3170665058211,High-income countries,Aggregates,incomegr,
2000,17,3,168.7155157627645,High-income countries,Aggregates,incomegr,
2010,5,1,113.8648532316749,High-income countries,Aggregates,incomegr,
1990,6,2,118.2634514319901,High-income countries,Aggregates,incomegr,
1990,11,1,146.6906761457886,High-income countries,Aggregates,incomegr,
2019,11,2,149.1551705787797,High-income countries,Aggregates,incomegr,
2019,12,3,154.470707419994,High-income countries,Aggregates,incomegr,
2019,14,3,164.3976491801184,High-income countries,Aggregates,incomegr,
2010,18,3,169.2769017333773,High-income countries,Aggregates,incomegr,
2010,15,2,161.5224565496717,High-income countries,Aggregates,incomegr,
2000,12,1,153.1615153017398,High-income countries,Aggregates,incomegr,
2010,12,3,153.847051596495,High-income countries,Aggregates,incomegr,
1985,17,2,161.4391605824287,High-income countries,Aggregates,incomegr,
2000,14,1,166.5826233876044,High-income countries,Aggregates,incomegr,
2010,17,3,168.9334505574224,High-income countries,Aggregates,incomegr,
2019,18,1,176.4793436818186,High-income countries,Aggregates,incomegr,
2019,18,2,162.8340997812986,High-income countries,Aggregates,incomegr,
2019,15,3,167.2983274510276,High-income countries,Aggregates,incomegr,
2000,11,1,147.0342724241453,High-income countries,Aggregates,incomegr,
2019,8,3,131.394385950435,High-income countries,Aggregates,incomegr,
1990,13,1,159.7068260884129,High-income countries,Aggregates,incomegr,
1985,15,1,169.9581335754334,High-income countries,Aggregates,incomegr,
2000,19,3,169.4086298957496,High-income countries,Aggregates,incomegr,
2000,13,3,158.9407875554056,High-income countries,Aggregates,incomegr,
2019,10,3,142.6805635363051,High-income countries,Aggregates,incomegr,
1990,14,2,159.6619632727885,High-income countries,Aggregates,incomegr,
2000,19,2,162.5496314624595,High-income countries,Aggregates,incomegr,
1990,16,3,167.2642482161382,High-income countries,Aggregates,incomegr,
2019,19,1,176.7526106015733,High-income countries,Aggregates,incomegr,
2019,8,1,131.686531650946,High-income countries,Aggregates,incomegr,
1990,10,3,141.4331253804908,High-income countries,Aggregates,incomegr,
2000,12,2,153.763130182372,High-income countries,Aggregates,incomegr,
1990,9,2,135.614876018018,High-income countries,Aggregates,incomegr,
1985,10,3,141.0639953676737,High-income countries,Aggregates,incomegr,
2019,14,2,152.9300171017826,Low-income countries,Aggregates,incomegr,
1990,17,3,160.7642479728332,Low-income countries,Aggregates,incomegr,
1985,7,3,115.9686046074108,Low-income countries,Aggregates,incomegr,
2010,14,3,153.6916457481386,Low-income countries,Aggregates,incomegr,
2000,5,3,104.3207766287763,Low-income countries,Aggregates,incomegr,
2019,9,3,127.4713286308508,Low-income countries,Aggregates,incomegr,
1990,15,2,154.2413731448559,Low-income countries,Aggregates,incomegr,
1990,12,1,141.7321965377324,Low-income countries,Aggregates,incomegr,
2010,12,3,143.6485278411348,Low-income countries,Aggregates,incomegr,
2000,14,2,152.2826332240422,Low-income countries,Aggregates,incomegr,
2000,14,1,154.7687373168338,Low-income countries,Aggregates,incomegr,
1985,9,2,127.682328452916,Low-income countries,Aggregates,incomegr,
1990,14,1,155.25086150264,Low-income countries,Aggregates,incomegr,
1985,14,1,155.3348830466807,Low-income countries,Aggregates,incomegr,
2010,11,3,137.9046517030448,Low-income countries,Aggregates,incomegr,
1990,19,3,163.0044377630211,Low-income countries,Aggregates,incomegr,
2000,19,2,157.3432015539232,Low-income countries,Aggregates,incomegr,
1985,12,3,143.7962083222928,Low-income countries,Aggregates,incomegr,
2010,10,2,133.6973419813117,Low-income countries,Aggregates,incomegr,
2000,12,2,145.4139564510893,Low-income countries,Aggregates,incomegr,
1990,8,1,120.2133317946206,Low-income countries,Aggregates,incomegr,
1990,8,2,122.0677543912138,Low-income countries,Aggregates,incomegr,
2010,8,3,121.6689196771962,Low-income countries,Aggregates,incomegr,
1990,10,3,131.9864107883566,Low-income countries,Aggregates,incomegr,
2000,11,1,135.3442831279281,Low-income countries,Aggregates,incomegr,
2010,16,2,155.2722417383838,Low-income countries,Aggregates,incomegr,
2019,11,3,138.6339643342289,Low-income countries,Aggregates,incomegr,
2000,13,2,149.5525497300725,Low-income countries,Aggregates,incomegr,
1990,6,3,110.2301409778309,Low-income countries,Aggregates,incomegr,
2000,16,2,155.1672503674353,Low-income countries,Aggregates,incomegr,
2000,10,3,131.7251846081616,Low-income countries,Aggregates,incomegr,
2000,11,3,137.4921194618636,Low-income countries,Aggregates,incomegr,
1990,6,2,111.2415123624353,Low-income countries,Aggregates,incomegr,
1985,16,3,159.256722639522,Low-income countries,Aggregates,incomegr,
2000,6,2,111.2746403008973,Low-income countries,Aggregates,incomegr,
2019,16,3,159.827661499108,Low-income countries,Aggregates,incomegr,
2000,5,2,105.4454814517387,Low-income countries,Aggregates,incomegr,
2000,10,1,130.1268837257686,Low-income countries,Aggregates,incomegr,
1985,9,1,125.5909091637814,Low-income countries,Aggregates,incomegr,
2010,11,2,139.9777535114318,Low-income countries,Aggregates,incomegr,
1990,12,2,145.6224114277871,Low-income countries,Aggregates,incomegr,
1990,10,2,133.5193824583494,Low-income countries,Aggregates,incomegr,
1990,11,2,139.8758901528282,Low-income countries,Aggregates,incomegr,
2019,12,1,142.7227110775963,Low-income countries,Aggregates,incomegr,
2000,14,3,153.5376826041573,Low-income countries,Aggregates,incomegr,
2019,18,3,162.2653036577429,Low-income countries,Aggregates,incomegr,
2000,11,2,139.6838910082899,Low-income countries,Aggregates,incomegr,
