loc,heading1,heading2,pop23,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
Sri Lanka,Countries and territories,Asia,22971.616,0,1,1,1,0,1,131
Sudan,Countries and territories,Africa,50042.80000000001,0,1,1,1,0,1,84
Suriname,Countries and territories,Latin America and the Caribbean,628.8919999999998,0,1,1,1,0,1,237
Sweden,Countries and territories,Europe,10551.494,0,1,1,1,0,1,189
Switzerland,Countries and territories,Europe,8870.564000000004,0,1,1,1,0,1,190
Syria,Countries and territories,Asia,23594.624,0,1,1,1,0,1,132
Taiwan,Countries and territories,Asia,23317.14500000001,0,1,1,1,0,1,133
Tajikistan,Countries and territories,Asia,10389.808,1,1,1,1,0,1,134
Tanzania,Countries and territories,Africa,66617.60800000002,1,1,1,1,1,1,85
Thailand,Countries and territories,Asia,71702.43799999999,0,1,1,1,0,1,135
Timor-Leste,Countries and territories,Asia,1384.293,1,1,1,1,0,1,136
Togo,Countries and territories,Africa,9304.346,1,1,1,1,1,1,86
Tokelau,Countries and territories,Oceania,2.423999999999998,0,1,1,1,0,1,266
Tonga,Countries and territories,Oceania,104.614,0,1,1,1,0,1,267
Trinidad and Tobago,Countries and territories,Latin America and the Caribbean,1502.938,0,1,1,1,0,1,238
Tunisia,Countries and territories,Africa,12200.434,0,1,1,1,0,1,87
Turkmenistan,Countries and territories,Asia,7364.436999999998,0,1,1,1,0,1,137
Turks and Caicos Islands,Countries and territories,Latin America and the Caribbean,46.221,0,1,0,0,0,0,239
Tuvalu,Countries and territories,Oceania,9.837000000000003,0,1,1,1,0,1,268
Türkiye,Countries and territories,Asia,87270.50300000003,1,1,1,1,1,1,138
US Virgin Islands,Countries and territories,Latin America and the Caribbean,85.71400000000001,0,1,1,1,0,0,240
Uganda,Countries and territories,Africa,48656.60600000001,1,1,1,1,1,1,88
Ukraine,Countries and territories,Europe,37732.83300000001,1,1,1,1,0,1,191
United Arab Emirates,Countries and territories,Asia,10642.089,0,1,1,1,0,1,139
United Kingdom,Countries and territories,Europe,68682.965,0,1,1,1,0,1,192
United States,Countries and territories,Northern America,343477.3329999999,0,1,1,1,0,1,247
Upper-middle-income countries,Aggregates,World Bank Income groups,2811309.235999999,0,1,1,1,0,1,33
Uruguay,Countries and territories,Latin America and the Caribbean,3388.083,0,1,1,1,0,1,241
Uzbekistan,Countries and territories,Asia,35652.31100000001,1,1,1,1,1,1,140
Vanuatu,Countries and territories,Oceania,320.422,0,1,1,1,0,1,269
Venezuela,Countries and territories,Latin America and the Caribbean,28300.861,0,1,1,1,0,1,242
Viet Nam,Countries and territories,Asia,100352.1889999999,1,1,1,1,0,1,141
Wallis and Futuna Islands,Countries and territories,Oceania,11.394,0,1,0,0,0,0,270
Western Africa,Aggregates,UN subregions,446044.5600000001,0,1,1,1,0,1,26
Western Asia,Aggregates,UN subregions,303965.491,0,1,1,1,0,1,27
Western Europe,Aggregates,UN subregions,199537.1840000001,0,1,1,1,0,1,28
Western Sahara,Countries and territories,Africa,579.7349999999999,0,1,0,0,0,0,89
Yemen,Countries and territories,Asia,39390.80000000002,1,1,1,1,0,1,142
Zambia,Countries and territories,Africa,20723.96799999999,1,1,1,1,1,1,90
Zimbabwe,Countries and territories,Africa,16340.829,1,1,1,1,1,1,91
