year,sex,value,note_,lid
1981,1,5.557905123843465,,352
1981,2,3.265899762972646,,352
1981,3,4.442271937927456,,352
1982,1,6.045789082964381,,352
1982,2,2.427731809148015,,352
1982,3,4.282855529156193,,352
1983,1,6.125500022363006,,352
1983,2,2.41771785169298,,352
1983,3,4.312768371113274,,352
1984,1,6.761779641799692,,352
1984,2,2.697106339739963,,352
1984,3,4.770897751031122,,352
1985,1,5.537882721309395,,352
1985,2,2.25815537096441,,352
1985,3,3.95385416520444,,352
1986,1,7.030753981820514,,352
1986,2,2.786950729425031,,352
1986,3,4.980308258957789,,352
1987,1,4.651607871448027,,352
1987,2,2.377768832851679,,352
1987,3,3.55504267097273,,352
1988,1,5.438406322894052,,352
1988,2,2.657251375058456,,352
1988,3,4.083468984838912,,352
1989,1,5.298918388531138,,352
1989,2,2.407771875542419,,352
1989,3,3.904006898996837,,352
1990,1,5.955966361550158,,352
1990,2,2.307902335627388,,352
1990,3,4.193032716942713,,352
1991,1,6.085444785155603,,352
1991,2,2.058347945199213,,352
1991,3,4.143232120346951,,352
1992,1,5.468093947421315,,352
1992,2,3.09617205707502,,352
1992,3,4.332491585635534,,352
1993,1,6.015686832682055,,352
1993,2,2.846835108869405,,352
1993,3,4.482063603041042,,352
1994,1,6.672496026541408,,352
1994,2,2.497512832398074,,352
1994,3,4.671372542099705,,352
1995,1,5.587707536199193,,352
1995,2,2.647225535108877,,352
1995,3,4.173132346853237,,352
1996,1,4.801058098757305,,352
1996,2,2.387774209773541,,352
1996,3,3.634864230717794,,352
1997,1,4.402334080165105,,352
1997,2,2.627266704472664,,352
1997,3,3.554970430194926,,352
1998,1,5.428413220629369,,352
1998,2,1.748797705322103,,352
1998,3,3.664698276783507,,352
1999,1,4.611650372275955,,352
1999,2,2.806860346033058,,352
1999,3,3.744429700839214,,352
2000,1,3.904099079321877,,352
2000,2,1.958497064060372,,352
2000,3,2.976552231965468,,352
2001,1,4.681530163880954,,352
2001,2,2.238075087035551,,352
2001,3,3.515214232939989,,352
2002,1,5.050326830164265,,352
2002,2,2.01839782451263,,352
2002,3,3.62492551636806,,352
2003,1,4.083367843996877,,352
2003,2,2.218049449704385,,352
2003,3,3.185964437528055,,352
2004,1,4.791045019765794,,352
2004,2,2.427676391677847,,352
2004,3,3.664725504176958,,352
2005,1,4.043790956020699,,352
2005,2,1.678898052493105,,352
2005,3,2.916727446472756,,352
2006,1,3.973812596395288,,352
2006,2,2.008434095264189,,352
2006,3,3.026403290702362,,352
2007,1,3.844281781483438,,352
2007,2,1.598992312202507,,352
2007,3,2.776996072592963,,352
2008,1,3.67494289974446,,352
2008,2,2.0084336907914,,352
2008,3,2.886812975374631,,352
2009,1,3.634913318972255,,352
2009,2,1.579016201346706,,352
2009,3,2.647258482061376,,352
2010,1,3.136195517591589,,352
2010,2,1.489124453679769,,352
2010,3,2.347851654407429,,352
2011,1,3.006460533105604,,352
2011,2,1.549100141143733,,352
2011,3,2.31789832633067,,352
2012,1,3.036501495832455,,352
2012,2,1.129498409347285,,352
2012,3,2.1182553945569,,352
2013,1,3.295805163520127,,352
2013,2,1.609003393870378,,352
2013,3,2.487599021138043,,352
2014,1,3.126231765743781,,352
2014,2,1.44917133323863,,352
2014,3,2.317895629443512,,352
2015,1,3.355566869881699,,352
2015,2,1.788777301057531,,352
2015,3,2.607318656038027,,352
2016,1,3.913989313382937,,352
2016,2,1.459156640981951,,352
2016,3,2.727070645167085,,352
2017,1,4.063534334958763,,352
2017,2,1.908550247006535,,352
2017,3,3.016401618444298,,352
2018,1,3.80442250339097,,352
2018,2,1.618981307376588,,352
2018,3,2.767030630875356,,352
2019,1,4.103432479666824,,352
2019,2,1.768799088815221,,352
2019,3,2.976549536926054,,352
2020,1,5.169468100122199,,352
2020,2,2.208063042530295,,352
2020,3,3.754427670682903,,352
2021,1,5.209576018002648,,352
2021,2,1.888595213042965,,352
2021,3,3.604951112746058,,352
2022,1,5.010479119828992,,352
2022,2,2.178125693265365,,352
2022,3,3.654847905373071,,352
1941,1,6.632463892429996,,353
1941,2,4.631422115755401,,353
1941,3,5.637311495966246,,353
1942,1,6.70203525986679,,353
1942,2,3.564960026072983,,353
1942,3,5.139463533204935,,353
1943,1,6.612504049634427,,353
1943,2,3.335576409490337,,353
1943,3,4.980099089996082,,353
1944,1,6.721867420872996,,353
1944,2,4.163089000917997,,353
1944,3,5.43815676115289,,353
1945,1,4.890444390569293,,353
1945,2,3.594824021781351,,353
1945,3,4.24279839398789,,353
1946,1,5.109538290524518,,353
1946,2,2.587354135375142,,353
1946,3,3.864034387524473,,353
1947,1,4.970130850834198,,353
1947,2,2.138223216101909,,353
1947,3,3.545008579715847,,353
1948,1,4.212923606671248,,353
1948,2,2.148168174423426,,353
1948,3,3.185960043661451,,353
1949,1,5.56759177977395,,353
1949,2,2.387732568639001,,353
1949,3,3.983657529598394,,353
1950,1,4.880511450055525,,353
1950,2,1.718820203823079,,353
1950,3,3.295668032021082,,353
1951,1,3.834173674943875,,353
1951,2,2.188113699222671,,353
1951,3,3.02637624125246,,353
1952,1,3.714577377252226,,353
1952,2,2.108244619655975,,353
1952,3,2.916648591038462,,353
1953,1,4.601612846385161,,353
1953,2,1.509088575087469,,353
1953,3,3.066257967694219,,353
1954,1,4.49192653465702,,353
1954,2,1.938499978245023,,353
1954,3,3.205891225327662,,353
1955,1,5.796574760946194,,353
1955,2,2.447608164447446,,353
1955,3,4.113243123810895,,353
1956,1,4.72110672515158,,353
1956,2,2.677129038749726,,353
1956,3,3.684571786086832,,353
1957,1,5.587566605159022,,353
1957,2,2.846761735844305,,353
1957,3,4.183017693192737,,353
1958,1,4.591692660825486,,353
1958,2,1.908545652352545,,353
1958,3,3.205918770447735,,353
1959,1,4.49250191733308,,353
1959,2,1.678878072646439,,353
1959,3,3.04644286488287,,353
1960,1,4.940477418201694,,353
1960,2,1.628946238218965,,353
1960,3,3.265787078140625,,353
1961,1,4.681424718602445,,353
1961,2,1.349335645011385,,353
1961,3,3.026414855026749,,353
1962,1,4.482030404971304,,353
1962,2,1.708851877804451,,353
1962,3,3.106163848432542,,353
1963,1,3.874276871478455,,353
1963,2,2.856845264173069,,353
1963,3,3.385446533064496,,353
1964,1,5.05986590815799,,353
1964,2,1.788821847362621,,353
1964,3,3.415401135040574,,353
1965,1,5.040339540021477,,353
1965,2,1.838692051658208,,353
1965,3,3.405486808745306,,353
1966,1,5.358712019617573,,353
1966,2,1.748792909836761,,353
1966,3,3.525100743051235,,353
1967,1,6.463736621285521,,353
1967,2,2.267946326699577,,353
1967,3,4.302703557034993,,353
1968,1,6.194908792649723,,353
1968,2,2.168182127515572,,353
1968,3,4.133245929251461,,353
1969,1,5.010007773490033,,353
1969,2,2.367778029728873,,353
1969,3,3.674621209396989,,353
1970,1,6.174916997982116,,353
1970,2,2.347859243700179,,353
1970,3,4.272797857149624,,353
1971,1,6.155122673566882,,353
1971,2,2.936609219349462,,353
1971,3,4.561824869970033,,353
1972,1,5.249046409548819,,353
1972,2,2.597360910659319,,353
1972,3,3.933838785508126,,353
1973,1,6.264798353008416,,353
1973,2,1.728832986201079,,353
1973,3,4.033607444643317,,353
1974,1,4.552123428231636,,353
1974,2,2.208094601007904,,353
1974,3,3.385558214102469,,353
1975,1,5.976488209599951,,353
1975,2,1.718852971709484,,353
1975,3,3.86425238676269,,353
1976,1,5.040256914603858,,353
1976,2,1.838666875842443,,353
1976,3,3.475315336517237,,353
1977,1,5.667693112832994,,353
1977,2,1.539108141633827,,353
1977,3,3.624939979394282,,353
1978,1,5.508373839945957,,353
1978,2,2.57739388649858,,353
1978,3,4.053643267394769,,353
1979,1,6.712932063032473,,353
1979,2,1.948494375727083,,353
1979,3,4.352676097107211,,353
1980,1,7.080738336443848,,353
1980,2,2.018401917845525,,353
1980,3,4.571879946335788,,353
1981,1,5.508112678413224,,353
1981,2,2.088272007487735,,353
1981,3,3.834195417103836,,353
1982,1,4.840872619808145,,353
1982,2,2.148208028208143,,353
1982,3,3.515137396693735,,353
1983,1,4.502253856681127,,353
1983,2,1.998423912306757,,353
1983,3,3.275846125542325,,353
1984,1,4.12334782122159,,353
1984,2,1.848638998184327,,353
1984,3,2.996458756539644,,353
1985,1,5.259242197115932,,353
1985,2,1.399255885154882,,353
1985,3,3.365588594280378,,353
1986,1,4.701338240206465,,353
1986,2,1.958496464222415,,353
1986,3,3.345540351834542,,353
1987,1,4.402451551596132,,353
1987,2,1.409259281566433,,353
1987,3,2.946612990385455,,353
1988,1,5.816839094356596,,353
1988,2,2.337839183691903,,353
1988,3,4.113324326090684,,353
1989,1,5.697333018381934,,353
1989,2,1.928533848462033,,353
1989,3,3.884090577062738,,353
1990,1,4.751125293333103,,353
1990,2,1.668907750186799,,353
1990,3,3.235829568552728,,353
1991,1,5.069927038908073,,353
1991,2,1.459177522021626,,353
1991,3,3.305719498220006,,353
1992,1,4.442216984517855,,353
1992,2,1.469166028641777,,353
1992,3,2.986443406864048,,353
1993,1,4.940389166298242,,353
1993,2,2.168189032023315,,353
1993,3,3.59490733909551,,353
1994,1,4.970216886600487,,353
1994,2,2.307874275094268,,353
1994,3,3.684585854523359,,353
1995,1,4.930556648720108,,353
1995,2,1.299345359115356,,353
1995,3,3.166075381551003,,353
1996,1,3.764786584819491,,353
1996,2,1.878614299991921,,353
1996,3,2.836892719400685,,353
1997,1,3.18602201823226,,353
1997,2,1.808758599900151,,353
1997,3,2.517516291881905,,353
1998,1,4.073695982520165,,353
1998,2,1.079558485742038,,353
1998,3,2.617350085606485,,353
1999,1,3.31585294328407,,353
1999,2,1.119509304533306,,353
1999,3,2.238045629998742,,353
2000,1,3.634786579676641,,353
2000,2,1.009626562298416,,353
2000,3,2.357809698610991,,353
2001,1,4.213195890330534,,353
2001,2,1.109511406697239,,353
2001,3,2.697174425016602,,353
2002,1,3.495372981514588,,353
2002,2,1.199436929015474,,353
2002,3,2.377816461295201,,353
2003,1,2.747167552266228,,353
2003,2,1.179476009281366,,353
2003,3,1.998464658869992,,353
2004,1,2.906737660239966,,353
2004,2,1.329317068487157,,353
2004,3,2.1382326030015,,353
2005,1,3.33573267827314,,353
2005,2,.9296692559753739,,353
2005,3,2.168179337062481,,353
2006,1,3.595120006431474,,353
2006,2,1.189462112449857,,353
2006,3,2.42776227003727,,353
2007,1,3.196342269031427,,353
2007,2,1.199438229125382,,353
2007,3,2.228153897246066,,353
2008,1,3.076425256074988,,353
2008,2,.6898188226865942,,353
2008,3,1.918609275776473,,353
2009,1,2.228227304185482,,353
2009,2,1.469154838638853,,353
2009,3,1.858697330243242,,353
2010,1,2.298043460631782,,353
2010,2,1.249386548142217,,353
2010,3,1.788777498990979,,353
