year,sex,value,note_,lid
1932,3,124.6896591186523,,292
1933,1,124.4074020385742,,292
1933,2,102.6187515258789,,292
1933,3,113.6559600830078,,292
1934,1,118.0481414794922,,292
1934,2,96.06269073486328,,292
1934,3,107.2013168334961,,292
1935,1,120.8797912597656,,292
1935,2,92.89160919189453,,292
1935,3,106.946533203125,,292
1936,1,110.8131561279297,,292
1936,2,90.48956298828125,,292
1936,3,100.6839218139648,,292
1937,1,110.6708755493164,,292
1937,2,91.44354248046875,,292
1937,3,101.1665496826172,,292
1938,1,110.734016418457,,292
1938,2,89.21483612060547,,292
1938,3,100.1210479736328,,292
1939,1,116.6870727539063,,292
1939,2,85.88230895996094,,292
1939,3,101.4404525756836,,292
1940,1,155.3060302734375,,292
1940,2,122.107795715332,,292
1940,3,139.0236511230469,,292
1941,1,121.4158096313477,,292
1941,2,97.65648651123047,,292
1941,3,109.7134628295898,,292
1942,1,132.0119934082031,,292
1942,2,110.0588607788086,,292
1942,3,121.3207015991211,,292
1943,1,139.4031982421875,,292
1943,2,106.0671920776367,,292
1943,3,123.342529296875,,292
1944,1,163.7774353027344,,292
1944,2,135.1345977783203,,292
1944,3,149.8448028564453,,292
1945,1,176.4936218261719,,292
1945,2,140.3023376464844,,292
1945,3,158.879150390625,,292
1946,1,136.0268707275391,,292
1946,2,105.4292068481445,,292
1946,3,121.2380905151367,,292
1947,1,103.5362091064453,,292
1947,2,81.46888732910156,,292
1947,3,92.70452117919922,,292
1948,1,83.31958770751953,,292
1948,2,64.68625640869141,,292
1948,3,74.14437103271484,,292
1949,1,93.54259490966797,,292
1949,2,75.67317199707031,,292
1949,3,84.70060729980469,,292
1950,1,74.28795623779297,,292
1950,2,59.94870758056641,,292
1950,3,67.25399017333984,,292
1951,1,73.87039184570313,,292
1951,2,57.22751617431641,,292
1951,3,65.74669647216797,,292
1952,1,65.22889709472656,,292
1952,2,52.58732604980469,,292
1952,3,59.03719711303711,,292
1953,1,59.38519668579102,,292
1953,2,48.46359634399414,,292
1953,3,54.01328659057617,,292
1954,1,57.2422981262207,,292
1954,2,45.33935165405273,,292
1954,3,51.42686462402344,,292
1955,1,50.83428573608398,,292
1955,2,39.53465270996094,,292
1955,3,45.31710052490234,,292
1956,1,46.87940216064453,,292
1956,2,37.04423141479492,,292
1956,3,42.06796646118164,,292
1957,1,45.0655403137207,,292
1957,2,36.2655143737793,,292
1957,3,40.76230621337891,,292
1958,1,42.05365371704102,,292
1958,2,33.53433609008789,,292
1958,3,37.86988067626953,,292
1959,1,38.59237289428711,,292
1959,2,30.17262840270996,,292
1959,3,34.45767211914063,,292
1960,1,37.11903762817383,,292
1960,2,30.68818283081055,,292
1960,3,33.98381042480469,,292
1961,1,32.94512557983398,,292
1961,2,26.72342109680176,,292
1961,3,29.91422843933105,,292
1962,1,33.51319122314453,,292
1962,2,24.93655395507813,,292
1962,3,29.31027603149414,,292
1963,1,31.91675186157227,,292
1963,2,25.44196319580078,,292
1963,3,28.78497695922852,,292
1964,1,29.8182544708252,,292
1964,2,24.58672714233398,,292
1964,3,27.29230308532715,,292
1965,1,28.03641700744629,,292
1965,2,20.05953788757324,,292
1965,3,24.1246395111084,,292
1966,1,27.43515396118164,,292
1966,2,21.4134635925293,,292
1966,3,24.48504257202148,,292
1967,1,25.92448616027832,,292
1967,2,20.55193710327148,,292
1967,3,23.29853630065918,,292
1968,1,27.73603820800781,,292
1968,2,21.52077102661133,,292
1968,3,24.69417381286621,,292
1969,1,25.14842414855957,,292
1969,2,20.19132041931152,,292
1969,3,22.73063468933105,,292
1970,1,24.35316467285156,,292
1970,2,17.69374656677246,,292
1970,3,21.10885620117188,,292
1971,1,23.56994438171387,,292
1971,2,17.32554626464844,,292
1971,3,20.54853439331055,,292
1972,1,20.02521324157715,,292
1972,2,17.44740104675293,,292
1972,3,18.77137756347656,,292
1973,1,19.96821212768555,,292
1973,2,15.83914947509766,,292
1973,3,17.95884895324707,,292
1974,1,20.47913360595703,,292
1974,2,13.92053031921387,,292
1974,3,17.30034446716309,,292
1975,1,16.89804077148438,,292
1975,2,12.68550777435303,,292
1975,3,14.84721374511719,,292
1976,1,13.7920503616333,,292
1976,2,12.3736743927002,,292
1976,3,13.10273742675781,,292
1977,1,14.45342540740967,,292
1977,2,9.735754013061523,,292
1977,3,12.16548156738281,,292
1978,1,13.59202671051025,,292
1978,2,11.87814140319824,,292
1978,3,12.75021171569824,,292
1979,1,12.54357624053955,,292
1979,2,9.876330375671387,,292
1979,3,11.24027824401855,,292
1980,1,13.39335060119629,,292
1980,2,9.703025817871094,,292
1980,3,11.60819435119629,,292
1981,1,11.48755359649658,,292
1981,2,9.384248733520508,,292
1981,3,10.46094226837158,,292
1982,1,11.5019588470459,,292
1982,2,8.41016674041748,,292
1982,3,10.00615882873535,,292
1983,1,12.23177051544189,,292
1983,2,8.686675071716309,,292
1983,3,10.50958824157715,,292
1984,1,11.19203853607178,,292
1984,2,8.276914596557617,,292
1984,3,9.774314880371094,,292
1985,1,10.6175479888916,,292
1985,2,8.866381645202637,,292
1985,3,9.766711235046387,,292
1986,1,10.56185340881348,,292
1986,2,8.769701957702637,,292
1986,3,9.675971031188965,,292
1987,1,9.93757152557373,,292
1987,2,7.5516357421875,,292
1987,3,8.769600868225098,,292
1988,1,11.2418212890625,,292
1988,2,8.969670295715332,,292
1988,3,10.13585472106934,,292
1989,1,9.140885353088379,,292
1989,2,7.540035724639893,,292
1989,3,8.370211601257324,,292
1990,1,10.16590595245361,,292
1990,2,6.852555274963379,,292
1990,3,8.579297065734863,,292
1991,1,9.664179801940918,,292
1991,2,7.473351001739502,,292
1991,3,8.598979949951172,,292
1992,1,8.86982250213623,,292
1992,2,7.392730236053467,,292
1992,3,8.151264190673828,,292
1993,1,9.636688232421875,,292
1993,2,6.433426380157471,,292
1993,3,8.070256233215332,,292
1994,1,7.163300037384033,,292
1994,2,4.637917995452881,,292
1994,3,5.925858974456787,,292
1995,1,6.183515548706055,,292
1995,2,5.094799518585205,,292
1995,3,5.634218692779541,,292
1996,1,6.613229751586914,,292
1996,2,5.055556297302246,,292
1996,3,5.864364624023438,,292
1997,1,5.812729835510254,,292
1997,2,5.156459331512451,,292
1997,3,5.494575023651123,,292
1998,1,6.481116771697998,,292
1998,2,6.531871795654297,,292
1998,3,6.501491069793701,,292
1999,1,5.732661247253418,,292
1999,2,4.60473108291626,,292
1999,3,5.163758277893066,,292
2000,1,4.78514289855957,,292
2000,2,3.816311359405518,,292
2000,3,4.315698146820068,,292
2001,1,5.730806350708008,,292
2001,2,3.776757001876831,,292
2001,3,4.774026870727539,,292
2002,1,6.390284061431885,,292
2002,2,4.784603118896484,,292
2002,3,5.602522373199463,,292
2003,1,6.659348011016846,,292
2003,2,4.364662647247314,,292
2003,3,5.532176494598389,,292
2004,1,5.224103927612305,,292
2004,2,3.957738399505615,,292
2004,3,4.60601282119751,,292
2005,1,4.83683443069458,,292
2005,2,3.697595596313477,,292
2005,3,4.27723503112793,,292
2006,1,5.442556858062744,,292
2006,2,3.887181282043457,,292
2006,3,4.675049304962158,,292
2007,1,4.755857467651367,,292
2007,2,3.217446804046631,,292
2007,3,4.006613254547119,,292
2008,1,4.775130271911621,,292
2008,2,4.106005668640137,,292
2008,3,4.455540180206299,,292
2009,1,5.2940673828125,,292
2009,2,3.248082876205444,,292
2009,3,4.296277523040771,,292
2010,1,4.905570507049561,,292
2010,2,3.418205738067627,,292
2010,3,4.186964988708496,,292
2011,1,3.598014116287231,,292
2011,2,2.798370838165283,,292
2011,3,3.208149194717407,,292
2012,1,4.415568828582764,,292
2012,2,3.986661911010742,,292
2012,3,4.196144580841064,,292
2013,1,3.957249641418457,,292
2013,2,2.958683252334595,,292
2013,3,3.477967977523804,,292
2014,1,4.485669136047363,,292
2014,2,3.667120695114136,,292
2014,3,4.086404323577881,,292
2015,1,4.894096851348877,,292
2015,2,3.178243398666382,,292
2015,3,4.056371688842773,,292
2016,1,4.756346225738525,,292
2016,2,3.177350521087646,,292
2016,3,3.986740589141846,,292
2017,1,4.916019916534424,,292
2017,2,2.878983736038208,,292
2017,3,3.917714357376099,,292
2018,1,4.366141319274902,,292
2018,2,3.178419351577759,,292
2018,3,3.797324419021606,,292
2019,1,4.935649394989014,,292
2019,2,3.348093748092651,,292
2019,3,4.166937351226807,,292
2020,1,4.378506183624268,,292
2020,2,3.378222703933716,,292
2020,3,3.888283491134644,,292
2021,1,4.516754627227783,,292
2021,2,3.078797101974487,,292
2021,3,3.817833423614502,,292
1901,1,175.8139801025391,,293
1901,2,149.8061828613281,,293
1901,3,162.9810028076172,,293
1902,1,147.5186614990234,,293
1902,2,125.5624923706055,,293
1902,3,136.8841857910156,,293
1903,1,160.5825653076172,,293
1903,2,138.3284912109375,,293
1903,3,149.6611328125,,293
1904,1,156.9208831787109,,293
1904,2,137.5467224121094,,293
1904,3,147.3712005615234,,293
1905,1,159.7851409912109,,293
