year,sex,value,note
1974,3,16.4853783004307,
1975,3,14.9128814447653,
1976,3,13.2547490599047,
1977,3,11.7568337666067,
1978,3,10.5335563685879,
1979,3,9.57972166444622,
1980,3,8.880742415579141,
1981,3,8.35828552202211,
1982,3,7.90697897503576,
1983,3,7.46395065694042,
1984,3,7.01532639165721,
1985,3,6.5546621331171,
1986,3,6.08857823151107,
1987,3,5.6343378299805,
1988,3,5.21239072240255,
1989,3,4.85715065343881,
1990,3,4.58979749864675,
1991,3,4.37762249169182,
1992,3,4.17047808010994,
1993,3,3.95075115918542,
1994,3,3.73552543496704,
1995,3,3.54102568345294,
1996,3,3.38089225190275,
1997,3,3.25554517322121,
1998,3,3.16656542149817,
1999,3,3.1102696435721,
2000,3,3.07879858716342,
2001,3,3.05850626607731,
2002,3,3.0321872477879,
2003,3,2.9893080031647,
2004,3,2.92608132584636,
2005,3,2.84651139657388,
2006,3,2.7592629270758,
2007,3,2.67994535307622,
2008,3,2.6127011833971,
2009,3,2.55504024218294,
2010,3,2.49870654215922,
2011,3,2.44599408502423,
2012,3,2.39661787815024,
2013,3,2.35109473278716,
2014,3,2.3087210751133,
2015,3,2.26895487851602,
2016,3,2.23630292210728,
2017,3,2.21576070115692,
2018,3,2.20855375516383,
2019,3,2.19624567757284,
2020,3,2.16721263570314,
2021,3,2.12206414971942,
2022,3,2.06292260378986,
2023,3,1.99683105661073,
1989,3,10.2618697103875,
1990,3,9.99839935372599,
1991,3,9.859172216737891,
1992,3,9.81282263480028,
1993,3,9.77883322696535,
1994,3,9.66590067869247,
1995,3,9.44849794312551,
1996,3,9.05204405535863,
1997,3,8.41812159302499,
1998,3,7.47361520833552,
1999,3,6.31790559593611,
2000,3,5.2236534192045,
2001,3,4.41136440636275,
2002,3,3.88775939771925,
2003,3,3.57616436348093,
2004,3,3.38455774606992,
2005,3,3.19029197520077,
2006,3,2.90133502892112,
2007,3,2.56224259359565,
2008,3,2.23765103274816,
2009,3,1.97631977257835,
2010,3,1.79570995426546,
2011,3,1.71329710593042,
2012,3,1.69362426778784,
2013,3,1.68097170012115,
2014,3,1.64172633729519,
2015,3,1.57350569125061,
2016,3,1.48120930000865,
2017,3,1.36527717591657,
2018,3,1.22942563705037,
2019,3,1.08332888006688,
2020,3,.960370971090326,
2021,3,.871513707586269,
2022,3,.814478713463837,
2023,3,.7715920965053999,
1960,3,20.042178352027,
1961,3,18.8409253890869,
1962,3,17.8462561563823,
1963,3,17.1875145461663,
1964,3,16.7994708533909,
1965,3,16.5451206332892,
1966,3,16.2863978981219,
1967,3,15.9041519944263,
1968,3,15.310654873202,
1969,3,14.6039089887116,
1970,3,13.956544435009,
1971,3,13.4624231748923,
1972,3,13.0532259203971,
1973,3,12.6408041392832,
1974,3,12.1130270410599,
1975,3,11.3877445693924,
1976,3,10.4797834955099,
1977,3,9.55449331323322,
1978,3,8.77100242230709,
1979,3,8.1430227316719,
1980,3,7.62609467295187,
1981,3,7.17770897856081,
1982,3,6.76678244791868,
1983,3,6.37079738021272,
1984,3,6.00974529063969,
1985,3,5.7070448657682,
1986,3,5.46691256026293,
1987,3,5.2548796602137,
1988,3,5.03441336083025,
1989,3,4.80866785058705,
1990,3,4.58669236556404,
1991,3,4.38115026759733,
1992,3,4.20003938002854,
1993,3,4.05427711193687,
1994,3,3.92639117136046,
1995,3,3.79635730196503,
1996,3,3.6550343244683,
1997,3,3.49660626892741,
1998,3,3.31527985837443,
1999,3,3.13617387491488,
2000,3,2.98437428874181,
2001,3,2.87375037362883,
2002,3,2.7938723623853,
2003,3,2.73489587115744,
2004,3,2.68396388529813,
2005,3,2.63461948081198,
2006,3,2.57762293251116,
2007,3,2.51433433769322,
2008,3,2.44773620809466,
2009,3,2.38241923881474,
2010,3,2.32806522052535,
2011,3,2.29213659370453,
2012,3,2.27517834653745,
2013,3,2.2738317401329,
2014,3,2.28345119596285,
2015,3,2.29472243507545,
2016,3,2.30245526697852,
2017,3,2.30572553325011,
2018,3,2.30308304700047,
2019,3,2.29114769719279,
2020,3,2.2605329129947,
2021,3,2.21423625053521,
2022,3,2.15821891991345,
2023,3,2.09884306488733,
1985,3,15.4761583753018,
1986,3,14.1130393559332,
1987,3,12.9581412311227,
1988,3,12.1083544167509,
1989,3,11.6207316902956,
1990,3,11.3243760865041,
1991,3,11.0090990599216,
1992,3,11.3114773571158,
1993,3,10.8736544678375,
1994,3,9.62533301426059,
1995,3,9.20838780106288,
